site,location_id,X,Y
NE,101A0003,-96.45469898901969,41.15207953658716
NE,101A0005,-96.45446352938536,41.15184789035229
NE,101A0006,-96.45445967130296,41.15174006575515
NE,101A0001,-96.45448350951949,41.15229623106845
NE,101A0004,-96.45437235610164,41.151905832467854
NE,101A0002,-96.45470374102192,41.15229358906469
NE,101B0004,-96.45412383632217,41.15193803901266
NE,101B0005,-96.45411589740277,41.15183314143511
NE,101B0001,-96.4542380634042,41.15243308370356
NE,101B0002,-96.45410581388244,41.15238451254016
NE,101B0003,-96.45422752522329,41.152118891815064
NE,101B0006,-96.45423552160551,41.15177440563471
NE,201A0006,-96.45339714300097,41.15182590798775
NE,201A0004,-96.45370669986038,41.15201861977289
NE,201A0005,-96.45359783568952,41.15187637224008
NE,201A0003,-96.4537654490526,41.152105663927124
NE,201A0002,-96.4534008153215,41.15221267791133
NE,201A0001,-96.45361515177001,41.15229057242746
NE,201B0004,-96.45301833698429,41.152079201822616
NE,201B0005,-96.45317388465251,41.15195875479981
NE,201B0001,-96.45301362067995,41.152346518174426
NE,201B0002,-96.45325257247849,41.152238030994354
NE,201B0003,-96.4530182478139,41.152256579639044
NE,201B0006,-96.45317579696433,41.15164228035219
NE,202A0006,-96.45437339124028,41.15105710898651
NE,202A0002,-96.45457486191151,41.15129371417233
NE,202A0001,-96.45447902361792,41.1513084196867
NE,202A0003,-96.45468405298313,41.15123603516901
NE,202A0005,-96.45447993168177,41.15108237819314
NE,202A0004,-96.45448909739976,41.15119376976673
NE,202B0004,-96.454035997042,41.150771229497614
NE,202B0005,-96.4541227471436,41.15075702588746
NE,202B0002,-96.45411159377885,41.150973122466574
NE,202B0003,-96.45403173013463,41.15088761101602
NE,202B0006,-96.45424247560814,41.15051730078692
NE,202B0001,-96.45423650235503,41.151322709517004
NE,301A0006,-96.45361293939183,41.150668850079605
NE,301A0003,-96.45371118693194,41.150953539429054
NE,301A0005,-96.45379121843429,41.15071983595668
NE,301A0004,-96.45361408532645,41.150768823840515
NE,301A0002,-96.45379146276403,41.15123492198968
NE,301A0001,-96.45363194041232,41.1512565134461
NE,301B0003,-96.4532559821403,41.15113142360539
NE,301B0001,-96.45302133799915,41.151353095456315
NE,301B0005,-96.45325440154262,41.15102976496962
NE,301B0004,-96.45318728066184,41.15103032457157
NE,301B0006,-96.45327572973433,41.15049343180608
NE,301B0002,-96.45318969973752,41.151247261710694
NE,102A0002,-96.45368742761408,41.150025548064846
NE,102A0004,-96.45362884124935,41.14970874407069
NE,102A0005,-96.45362308542072,41.14961457678451
NE,102A0003,-96.4536902634107,41.14981225778606
NE,102A0006,-96.4536875370803,41.14948625049748
NE,102A0001,-96.45348845344434,41.15000778065398
NE,102B0004,-96.45303138715528,41.149746487471894
NE,102B0002,-96.45302899903801,41.15026571245964
NE,102B0005,-96.45318676216242,41.149541417677995
NE,102B0003,-96.45317546155547,41.15006620085848
NE,102B0001,-96.45327013302062,41.15029023176388
NE,102B0006,-96.45327646026304,41.149498124912334
NE,302A0006,-96.4546928414739,41.1495223890886
NE,302A0001,-96.45438019263426,41.14991499940268
NE,302A0004,-96.45469248639542,41.14987303390127
NE,302A0003,-96.45470211393636,41.14997619446942
NE,302A0005,-96.4545917156581,41.149550938346316
NE,302A0002,-96.45459478910199,41.15027820614637
NE,302B0002,-96.45423730191258,41.14987148909347
NE,302B0005,-96.45424862836387,41.14952991358528
NE,302B0003,-96.45401797922901,41.14967786522494
NE,302B0001,-96.45413326342805,41.15000020116907
NE,302B0006,-96.45402972651898,41.14944703762375
NE,302B0004,-96.45413374645052,41.149538892691005
NE,103A0001,-96.45449625837222,41.149166389957415
NE,103A0002,-96.45459265049546,41.14913113412713
NE,103A0004,-96.45469298638977,41.14903984404972
NE,103A0003,-96.454697780220215,41.1491395111976
NE,103A0006,-96.45449209460095,41.14840018856611
NE,103A0005,-96.45469668899277,41.14892938547142
NE,103B0001,-96.45427101377123,41.14889583464529
NE,103B0004,-96.45405229686615,41.14856996839981
NE,103B0005,-96.45425505543052,41.14843043368888
NE,103B0003,-96.45405008420416,41.14888263551622
NE,103B0002,-96.45416944867344,41.148900658924276
NE,103B0006,-96.45418163338313,41.14832879850247
NE,303A0004,-96.45342104776199,41.14856095976811
NE,303A0001,-96.4534923090687,41.14894397404651
NE,303A0006,-96.45341512586921,41.14843569731726
NE,303A0003,-96.45342112752063,41.14864938127113
NE,303A0005,-96.45351640677987,41.14849451845882
NE,303A0002,-96.45361807927875,41.14892087958508
NE,303B0003,-96.45303872840628,41.148901488092086
NE,303B0006,-96.45304319544674,41.1483861008617
NE,303B0005,-96.45304936234211,41.148484708625986
NE,303B0004,-96.4532153815372,41.148577350768356
NE,303B0002,-96.45319836223511,41.14890456949899
NE,303B0001,-96.45328265060037,41.14901943349343
NE,203A0005,-96.45352991799413,41.1475462842984
NE,203A0004,-96.45338763740763,41.147628116069995
NE,203A0002,-96.45341302097611,41.14778528781976
NE,203A0003,-96.45362400568563,41.1477284024299
NE,203A0001,-96.45363021180354,41.14804855128797
NE,203A0006,-96.45363377993962,41.147526397964484
NE,203B0002,-96.45284815102379,41.147987602880335
NE,203B0003,-96.45295163495227,41.14787934310406
NE,203B0001,-96.45272593596665,41.14802908600014
NE,203B0006,-96.45286870734274,41.14754477009688
NE,203B0004,-96.45307073778608,41.14763911891157
NE,203B0005,-96.45286708393712,41.147657463273745
NE,403A0002,-96.45262512578144,41.14958476101475
NE,403A0004,-96.45263547992268,41.149386030002
NE,403A0006,-96.4525178901766,41.149133894580864
NE,403A0005,-96.45264368412325,41.14917450679055
NE,403A0003,-96.4524036638632,41.14953572690007
NE,403A0001,-96.4526390902308,41.149683541328265
NE,403B0006,-96.4519640394533,41.14911229687161
NE,403B0004,-96.45209144729571,41.14921828070558
NE,403B0003,-96.45209377899828,41.1493115796741
NE,403B0001,-96.45197882239444,41.14971096354282
NE,403B0002,-96.45196934204239,41.14941679891282
NE,403B0005,-96.45208840988408,41.14912012946679
NE,402A0001,-96.45263091621077,41.1505015918088
NE,402A0003,-96.45262063016324,41.150398902891865
NE,402A0004,-96.45240359046248,41.150283622567784
NE,402A0006,-96.45240747548996,41.14996398532165
NE,402A0002,-96.45250252030483,41.15048163762354
NE,402A0005,-96.45249714298613,41.15027591150568
NE,402B0005,-96.4519753013814,41.150109427292136
NE,402B0003,-96.45218768188312,41.15037878361647
NE,402B0002,-96.4519740461093,41.15044171420892
NE,402B0004,-96.45197752260383,41.15034090605107
NE,402B0006,-96.45197665806522,41.15001350793321
NE,402B0001,-96.45208985450489,41.15054051507298
NE,401A0005,-96.45239222715502,41.15083630723458
NE,401A0006,-96.45249406660936,41.150781719073244
NE,401A0004,-96.45271361813997,41.1508875706572
NE,401A0003,-96.45237824623942,41.151051422335186
NE,401A0001,-96.45261234955058,41.15111477785395
NE,401A0002,-96.45249219570744,41.15110996632163
NE,401B0005,-96.45208461204996,41.15086715653371
NE,401B0003,-96.45186600410045,41.1510042468808
NE,401B0002,-96.45217189510686,41.1510594469514
NE,401B0006,-96.45208622824812,41.15075561613835
NE,401B0001,-96.4521693094532,41.151344274612924
NE,401B0004,-96.4520796883904,41.15098225346019
IL-RS,IL-RS-A01,-88.29399699,40.00733046
IL-RS,IL-RS-A02,-88.29359737,40.0073373
IL-RS,IL-RS-A03,-88.29319798,40.00733839
IL-RS,IL-RS-A04,-88.29279044,40.00733659
IL-RS,IL-RS-A05,-88.29239549,40.00733564
IL-RS,IL-RS-A06,-88.29198528,40.00733425999999
IL-RS,IL-RS-A07,-88.29159052,40.00732648999999
IL-RS,IL-RS-A11,-88.28993304,40.00731265999999
IL-RS,IL-RS-A12,-88.28952194,40.007309490000004
IL-RS,IL-RS-A13,-88.28910668,40.007307680000004
IL-RS,IL-RS-A14,-88.28870139,40.00730501999999
IL-RS,IL-RS-A15,-88.28829564,40.00730511
IL-RS,IL-RS-A16,-88.28788204,40.00730275999999
IL-RS,IL-RS-A17,-88.28747315,40.00730056
IL-RS,IL-RS-A18,-88.28706749,40.00730072999999
IL-RS,IL-RS-A19,-88.28665566,40.00729875999999
IL-RS,IL-RS-A20,-88.28624004,40.007259149999996
IL-RS,IL-RS-A21,-88.28582271,40.007209210000006
IL-RS,IL-RS-B01,-88.29399059,40.006977580000004
IL-RS,IL-RS-B02,-88.29360318,40.00697293
IL-RS,IL-RS-B03,-88.29319968,40.006968329999985
IL-RS,IL-RS-B04,-88.29278009,40.00696258
IL-RS,IL-RS-B05,-88.29237603,40.00696216
IL-RS,IL-RS-B06,-88.29197007,40.00695749
IL-RS,IL-RS-B12,-88.28951672,40.00692238
IL-RS,IL-RS-B13,-88.28910863,40.00691759000001
IL-RS,IL-RS-B14,-88.28870786,40.00691329
IL-RS,IL-RS-B15,-88.28829224,40.006913159999996
IL-RS,IL-RS-B16,-88.28788409,40.00690927
IL-RS,IL-RS-B17,-88.28746907,40.00690392999999
IL-RS,IL-RS-B18,-88.28705574,40.00690229
IL-RS,IL-RS-B19,-88.28665073,40.00690086
IL-RS,IL-RS-B20,-88.28623567,40.006897509999995
IL-RS,IL-RS-B21,-88.28582682,40.00689414
IL-RS,IL-RS-C01,-88.29398136,40.006660399999994
IL-RS,IL-RS-C02,-88.29356676000002,40.006655470000005
IL-RS,IL-RS-C03,-88.2931575,40.006658619999996
IL-RS,IL-RS-C04,-88.29281999,40.00666487
IL-RS,IL-RS-C05,-88.29241060000001,40.006666779999996
IL-RS,IL-RS-C06,-88.29198544,40.006665309999995
IL-RS,IL-RS-C07,-88.29158287,40.00666172
IL-RS,IL-RS-C08,-88.29117419,40.006655739999985
IL-RS,IL-RS-C09,-88.29076488,40.006649509999995
IL-RS,IL-RS-C10,-88.29035235,40.00664424
IL-RS,IL-RS-C11,-88.28994208,40.00663757
IL-RS,IL-RS-C12,-88.28952852000002,40.006630679999994
IL-RS,IL-RS-C14,-88.28870488,40.00662452
IL-RS,IL-RS-C15,-88.28828731,40.006619500000006
IL-RS,IL-RS-C16,-88.28787719,40.006616279999996
IL-RS,IL-RS-C17,-88.2874673,40.00661104000002
IL-RS,IL-RS-C18,-88.28705694,40.00660596
IL-RS,IL-RS-C19,-88.28665404000002,40.00659775
IL-RS,IL-RS-C20,-88.28624742,40.006590489999994
IL-RS,IL-RS-C21,-88.28583194,40.006583269999986
IL-RS,IL-RS-D01,-88.29397629,40.00634233
IL-RS,IL-RS-D02,-88.29364186000001,40.00634318000001
IL-RS,IL-RS-D03,-88.29322846,40.00634088
IL-RS,IL-RS-D04,-88.29282068,40.00634303999999
IL-RS,IL-RS-D05,-88.29241152,40.00634332999999
IL-RS,IL-RS-D07,-88.29158785,40.006336319999996
IL-RS,IL-RS-D08,-88.29117327,40.006332670000006
IL-RS,IL-RS-D09,-88.29076815,40.00632980999999
IL-RS,IL-RS-D10,-88.29035694,40.0063256
IL-RS,IL-RS-D11,-88.2899468,40.006319209999994
IL-RS,IL-RS-D12,-88.2895312,40.006312859999994
IL-RS,IL-RS-D13,-88.28912234,40.00630931
IL-RS,IL-RS-D14,-88.28870867,40.00630660999999
IL-RS,IL-RS-D16,-88.28788532000002,40.00630103999998
IL-RS,IL-RS-D17,-88.2874731,40.006294669999996
IL-RS,IL-RS-D18,-88.28705978,40.00629018
IL-RS,IL-RS-D19,-88.28665591,40.00628302
IL-RS,IL-RS-D20,-88.28624288,40.00627468
IL-RS,IL-RS-D21,-88.28583578,40.00626539999999
IL-RS,IL-RS-E01,-88.2939758,40.00602332
IL-RS,IL-RS-E02,-88.29363977,40.00602351999999
IL-RS,IL-RS-E03,-88.29321945,40.00602895
IL-RS,IL-RS-E04,-88.29282293,40.00602594000001
IL-RS,IL-RS-E05,-88.29240476,40.006021019999984
IL-RS,IL-RS-E06,-88.29198996,40.006012729999995
IL-RS,IL-RS-E07,-88.291574550000007,40.00600522000001
IL-RS,IL-RS-E08,-88.29116744,40.005998659999996
IL-RS,IL-RS-E09,-88.29076211,40.005994519999994
IL-RS,IL-RS-E10,-88.29033938,40.0059871
IL-RS,IL-RS-E11,-88.28993727,40.00598228
IL-RS,IL-RS-E12,-88.28952463,40.00598032999999
IL-RS,IL-RS-E13,-88.28911220000002,40.005981150000004
IL-RS,IL-RS-E14,-88.288703,40.00597705
IL-RS,IL-RS-E15,-88.2882938,40.00597074000001
IL-RS,IL-RS-E16,-88.28788454,40.00596448
IL-RS,IL-RS-E18,-88.28705821,40.00596341
IL-RS,IL-RS-E19,-88.28665724000001,40.00595684
IL-RS,IL-RS-E20,-88.28625156,40.00595677999999
IL-RS,IL-RS-E21,-88.28583449,40.00595243
IL-RS,IL-RS-F01,-88.29396485,40.005709
IL-RS,IL-RS-F02,-88.29362795,40.00571684
IL-RS,IL-RS-F03,-88.29322336,40.00571993
IL-RS,IL-RS-F04,-88.2928078,40.00572005000001
IL-RS,IL-RS-F05,-88.29239941,40.005720520000004
IL-RS,IL-RS-F06,-88.29199194,40.005716840000005
IL-RS,IL-RS-F07,-88.29157668,40.00570819
IL-RS,IL-RS-F08,-88.29116481,40.0057012
IL-RS,IL-RS-F09,-88.29075286,40.00569554999999
IL-RS,IL-RS-F10,-88.29033786,40.00569005999999
IL-RS,IL-RS-F11,-88.2899311,40.00568401
IL-RS,IL-RS-F12,-88.28951877,40.00567672999999
IL-RS,IL-RS-F13,-88.28911776,40.00567131
IL-RS,IL-RS-F14,-88.28870353,40.00566528
IL-RS,IL-RS-F15,-88.28828964,40.005661800000006
IL-RS,IL-RS-F16,-88.28788276,40.00566005000002
IL-RS,IL-RS-F17,-88.28747493,40.00565370999999
IL-RS,IL-RS-F18,-88.28706774,40.00564879
IL-RS,IL-RS-F19,-88.28665581,40.00564098000002
IL-RS,IL-RS-F20,-88.28624653,40.00563747999999
IL-RS,IL-RS-F21,-88.28583285,40.005634259999994
IL-RS,IL-RS-G01,-88.29397002,40.00539328
IL-RS,IL-RS-G02,-88.29363273,40.00539686
IL-RS,IL-RS-G03,-88.29323037,40.00540273000001
IL-RS,IL-RS-G04,-88.29281597,40.00539958
IL-RS,IL-RS-G05,-88.29241003,40.00539830999998
IL-RS,IL-RS-G06,-88.29200231,40.00539724
IL-RS,IL-RS-G07,-88.29159627,40.00539471999999
IL-RS,IL-RS-G08,-88.29118353,40.0053895
IL-RS,IL-RS-G09,-88.29077399,40.005383099999996
IL-RS,IL-RS-G10,-88.29036414,40.00537621
IL-RS,IL-RS-G11,-88.28995471,40.00536773
IL-RS,IL-RS-G12,-88.28954106,40.00536208999999
IL-RS,IL-RS-G13,-88.28913202,40.00535712999999
IL-RS,IL-RS-G14,-88.28871822,40.00535185999998
IL-RS,IL-RS-G15,-88.28830569,40.00535024
IL-RS,IL-RS-G16,-88.28789825,40.005343589999995
IL-RS,IL-RS-G17,-88.28748438,40.00533856
IL-RS,IL-RS-G18,-88.28707355,40.00533382999999
IL-RS,IL-RS-G19,-88.28666111,40.00532579
IL-RS,IL-RS-G20,-88.28624624,40.00532168
IL-RS,IL-RS-G21,-88.28583689,40.00531962
IL-RS,IL-RS-H01,-88.29395249,40.005076599999995
IL-RS,IL-RS-H02,-88.29367553,40.00508332
IL-RS,IL-RS-H03,-88.29326296000002,40.00508567
IL-RS,IL-RS-H04,-88.29285783,40.00508224
IL-RS,IL-RS-H05,-88.29244354000001,40.00507959
IL-RS,IL-RS-H06,-88.29202591,40.00508409999999
IL-RS,IL-RS-H07,-88.29162306,40.00507817
IL-RS,IL-RS-H08,-88.29121431,40.005070329999995
IL-RS,IL-RS-H09,-88.29080193,40.00506488999999
IL-RS,IL-RS-H10,-88.29038571,40.00505851999999
IL-RS,IL-RS-H11,-88.28997302,40.00505145
IL-RS,IL-RS-H12,-88.28956121,40.00504575999999
IL-RS,IL-RS-H13,-88.28914726,40.00503903
IL-RS,IL-RS-H14,-88.28872144,40.005037089999995
IL-RS,IL-RS-H15,-88.28831988,40.00502960999999
IL-RS,IL-RS-H16,-88.28791251,40.00502218
IL-RS,IL-RS-H17,-88.28749873000001,40.00501679
IL-RS,IL-RS-H18,-88.28708388,40.00500961000001
IL-RS,IL-RS-H19,-88.28667123,40.00500949999999
IL-RS,IL-RS-H20,-88.28625329,40.00500350000001
IL-RS,IL-RS-H21,-88.28584247,40.005003509999995
